dataSplit,label,Single_cells...Intensity.Spot.Fluorescein..FITC..Mean_mean,Single_cells...Intensity.Spot.DAPI.Mean_mean,Single_cells...FITC_dead.Profile.2.2_mean,Single_cells...Bacteria_CSA.Profile.2.2_mean,Single_cells...FITC_dead.Radial.Relative.Deviation_mean,Single_cells...Intensity.Spot.DAPI.StdDev_mean,Single_cells...FITC_dead.Profile.1.2_mean,Single_cells...Bacteria_CSA.Profile.1.2_mean,Single_cells...FITC_dead.Symmetry.15_mean,Single_cells...FITC_dead.Threshold.Compactness.50._mean,Single_cells...FITC_dead.Radial.Mean_mean,Single_cells...Bacteria_CSA.Symmetry.05_mean,Single_cells...FITC_dead.Threshold.Compactness.60._mean,Single_cells...FITC_dead.Symmetry.02_mean,Single_cells...Bacteria.DAPI.Threshold.Compactness.60._mean,Single_cells...FITC_dead.Symmetry.14_mean,Single_cells...Bacteria.DAPI.Symmetry.02_mean,Single_cells...FITC_dead.Symmetry.04_mean,Single_cells...FITC_dead.Symmetry.05_mean,Single_cells...Bacteria_CSA.Symmetry.03_mean,Single_cells...FITC_dead.Threshold.Compactness.40._mean,Single_cells...FITC_dead.Symmetry.12_mean,Single_cells...Bacteria_CSA.Threshold.Compactness.50._mean,Single_cells...Bacteria_CSA.Symmetry.15_mean,Single_cells...Bacteria_CSA.Threshold.Compactness.60._mean,Single_cells...Bacteria.DAPI.Symmetry.04_mean,Single_cells...Bacteria_CSA.Symmetry.13_mean,Single_cells...Spot.Roundness_mean,Single_cells...Bacteria_CSA.Symmetry.14_mean,Single_cells...Intensity.Spot.Fluorescein..FITC..StdDev_mean,Single_cells...bacteria.Ratio.Width.to.Length_mean,Single_cells...bacteria.Area..µm.._mean,Single_cells...Bacteria.DAPI.Symmetry.05_mean,Single_cells...Bacteria.DAPI.Symmetry.15_mean,Single_cells...bacteria.Width..µm._mean,Single_cells...Bacteria.DAPI.Threshold.Compactness.30._mean,Single_cells...Bacteria.DAPI.Threshold.Compactness.50._mean,Single_cells...Bacteria.DAPI.Profile.2.2_mean,Single_cells...Bacteria_CSA.Threshold.Compactness.30._mean,Single_cells...Bacteria_CSA.Axial.Length.Ratio_mean,Single_cells...FITC_dead.Axial.Small.Length_mean,Single_cells...FITC_dead.Axial.Length.Ratio_mean,Single_cells...bacteria.Roundness_mean,Single_cells...Bacteria_CSA.Threshold.Compactness.40._mean,Single_cells...Bacteria_CSA.Symmetry.04_mean,Single_cells...Spot.Area..µm.._mean,Single_cells...Bacteria.DAPI.Symmetry.13_mean,Single_cells...Bacteria.DAPI.Threshold.Compactness.40._mean,Single_cells...Bacteria.DAPI.Axial.Small.Length_mean,Single_cells...Bacteria.DAPI.Radial.Mean_mean,Single_cells...Bacteria.DAPI.Radial.Relative.Deviation_mean,Single_cells...Bacteria.DAPI.Profile.1.2_mean,Single_cells...Bacteria_CSA.Symmetry.02_mean,Single_cells...Bacteria_CSA.Symmetry.12_mean,Single_cells...Bacteria_CSA.Radial.Mean_mean,Single_cells...Bacteria_CSA.Radial.Relative.Deviation_mean,Single_cells...FITC_dead.Symmetry.03_mean,Single_cells...FITC_dead.Symmetry.13_mean,Single_cells...Bacteria.DAPI.Axial.Length.Ratio_mean,Single_cells...Bacteria.DAPI.Symmetry.14_mean,Single_cells...bacteria.Length..µm._mean,Single_cells...Bacteria.DAPI.Symmetry.03_mean,Single_cells...Bacteria.DAPI.Symmetry.12_mean,Single_cells...Bacteria_CSA.Axial.Small.Length_mean,Single_cells...FITC_dead.Threshold.Compactness.30._mean
training,Susceptible,132.2794389,418.2144663,1.038438699,1.149166958,0.417359834,203.1285131,0.992253556,0.969311534,0.02199222,1.076344656,6.32490534,0.016177106,1.070837411,0.307594364,1.035205528,0.122459453,0.347184713,0.067269649,0.016290578,0.01855689,1.077790713,0.431126401,1.07345746,0.022182974,1.058845309,0.097926374,0.026985399,0.920178761,0.140809972,12.24347888,0.508627751,2.150700943,0.020790031,0.021668672,1.060885748,1.070208119,1.048061369,1.434374338,1.079360392,0.535537315,4.575313412,0.552376459,0.920178761,1.078031525,0.079598324,2.150700943,0.024257098,1.060392911,3.930026154,5.500791134,0.470382047,0.912594024,0.327404047,0.453535656,6.11570527,0.423511147,0.019084274,0.025576725,0.533229201,0.154506035,2.141792823,0.023225029,0.464562,4.316360408,1.078818474
training,Susceptible,133.4403886,423.6786232,1.044125449,1.131931609,0.418933907,192.8137831,0.99104941,0.972170383,0.025848899,1.070940317,6.416843627,0.017970727,1.065176406,0.307083687,1.031392149,0.126048065,0.34428186,0.070589947,0.018098203,0.022291013,1.073758839,0.429927756,1.069415059,0.025655992,1.0502089,0.097985313,0.032176577,0.915031135,0.140222108,12.38391918,0.507289801,2.20939976,0.022488146,0.02544329,1.072778766,1.061830054,1.042755988,1.397022088,1.073577669,0.53943029,4.636062997,0.553484355,0.915031135,1.070991322,0.079099142,2.20939976,0.029370269,1.052599159,4.040977771,5.673370558,0.467314867,0.918605448,0.322551395,0.448190058,6.236733269,0.423070167,0.022877771,0.031458675,0.535617858,0.15507329,2.18378129,0.026260444,0.46087868,4.411991718,1.074260107
training,Susceptible,135.0485201,417.327795,1.05046354,1.163874962,0.415442239,213.8897604,0.989208003,0.964915193,0.022201739,1.079874725,6.371260833,0.015655382,1.073404153,0.296325117,1.039359316,0.111439304,0.337767035,0.061236695,0.01596041,0.019138389,1.081432776,0.415974263,1.075598513,0.021490813,1.058557305,0.091232709,0.027733524,0.925334008,0.12736526,15.05759115,0.521427063,2.224128472,0.020685133,0.021656999,1.095824097,1.07078704,1.050191333,1.46203274,1.083127552,0.5496343,4.705540774,0.565769289,0.925334008,1.079752605,0.070897045,2.224128472,0.025709393,1.060400165,4.018878486,5.50994479,0.471349822,0.901241276,0.31316125,0.436581827,6.133202606,0.421198517,0.019430582,0.026845618,0.545495865,0.143150415,2.15074829,0.023022462,0.450985457,4.429012381,1.082570939
training,Susceptible,134.7073333,409.3570817,1.048743811,1.175576604,0.41404202,205.3193479,0.989444371,0.962352978,0.022111469,1.08193812,6.297137419,0.015841458,1.075928914,0.289692768,1.04200827,0.107781175,0.331609184,0.058616263,0.016223413,0.019570673,1.083226193,0.408499172,1.077238855,0.021578692,1.06793474,0.08799273,0.028538976,0.926186661,0.123433231,15.44614932,0.525839534,2.196726074,0.020400987,0.021447154,1.096856306,1.070740738,1.051346083,1.45326389,1.083973451,0.555953138,4.713492834,0.571643946,0.926186661,1.0821715,0.068645153,2.196726074,0.026527686,1.061361984,4.041838792,5.470693514,0.4688655,0.904026365,0.306805835,0.42891846,6.036230224,0.4222578,0.020334964,0.028053808,0.550246176,0.139389182,2.122746688,0.023808033,0.444725369,4.426493724,1.08418637
validation,Resistant,186.7267013,676.0762622,1.077461132,1.061549072,0.431297708,229.8435099,0.98586508,0.986480099,0.036109971,1.050878576,6.140569521,0.023391913,1.026050912,0.325893143,1.01097689,0.151287496,0.357224425,0.088126482,0.024833628,0.028923809,1.053854977,0.450881854,1.059457018,0.035001478,1.041538778,0.108638612,0.042053575,0.893272209,0.150493369,42.9964194,0.486965781,2.058565264,0.025645438,0.035619516,1.014891597,1.048956759,1.019003864,1.311147501,1.057420032,0.534702634,4.373879294,0.537321426,0.893272209,1.058853337,0.085170799,2.058565264,0.041141957,1.034912976,4.01324974,5.765783275,0.454096183,0.944644915,0.325448675,0.453123867,6.154610085,0.425727442,0.030518308,0.042109514,0.51911925,0.174621736,2.137442792,0.029309073,0.479347026,4.355073015,1.054873335
validation,Resistant,183.773347,583.4592863,1.113303584,1.068031964,0.430404268,231.1541667,0.977802516,0.985122983,0.029248191,1.059226009,6.109222907,0.019953227,1.031088617,0.3172379,1.031563529,0.137175147,0.342742083,0.079835873,0.021242441,0.024832876,1.064528806,0.438499867,1.069624886,0.028964563,1.046618375,0.095712887,0.035535021,0.910252788,0.136965336,45.8466331,0.504693394,2.108770617,0.022105183,0.027969335,1.048278151,1.064217026,1.041562748,1.361802542,1.071185341,0.543765887,4.42257067,0.548301922,0.910252788,1.071352617,0.076028887,2.108770617,0.033255793,1.053850103,4.026031433,5.640583232,0.457851763,0.929240406,0.316260794,0.44213182,6.185356196,0.41846962,0.025153946,0.034168549,0.534822639,0.154441906,2.12718373,0.025182854,0.460979384,4.428483458,1.06900487
validation,Resistant,181.2673569,489.2496455,1.100817318,1.118297665,0.427743575,229.2301721,0.978557007,0.974377245,0.027455769,1.06986983,6.252931355,0.018966925,1.061971659,0.302553489,1.043090122,0.125529279,0.33217296,0.071366159,0.019429249,0.023627078,1.074373311,0.422511849,1.069302179,0.027465098,1.044785491,0.09104871,0.033445315,0.91687467,0.133107114,50.71797216,0.514533459,2.225680313,0.021920843,0.026338776,1.089929391,1.065253929,1.047600549,1.417640036,1.076067538,0.549240228,4.598209038,0.560311439,0.91687467,1.072765999,0.074304781,2.225680313,0.031181748,1.055547874,4.084813929,5.616002189,0.467917295,0.912476605,0.311652128,0.435935923,6.226653986,0.420664095,0.023215806,0.032556275,0.545771253,0.145969251,2.171330184,0.025214254,0.447732346,4.493189864,1.074242756
validation,Resistant,196.5871139,474.6084493,1.109272281,1.120387485,0.434428321,208.025233,0.976892775,0.973663009,0.031958278,1.069208032,6.233278281,0.02163562,1.060133407,0.301363524,1.044206138,0.127694449,0.327158918,0.072764308,0.022306069,0.02708571,1.069892447,0.42169898,1.065570258,0.031988059,1.044636978,0.089387471,0.038864282,0.912278168,0.13655847,61.86864227,0.510026143,2.238147918,0.023813608,0.030272194,1.089847911,1.064456595,1.047941065,1.37778824,1.070090923,0.548083198,4.593985353,0.560198864,0.912278168,1.069049723,0.077096497,2.238147918,0.036612036,1.055774978,4.170678148,5.716951894,0.465769198,0.921153952,0.313831823,0.4376369,6.257508735,0.423233711,0.02697643,0.038408271,0.547174069,0.144902947,2.190576548,0.028416676,0.444323285,4.51495501,1.073028584
training,Susceptible,162.8618,380.1513,1.049498,1.176562,0.4260703,143.0659,0.9881955,0.958277,0.03155318,1.065442,6.703496,0.02068502,1.060159,0.3029213,1.0063768,0.1334508,0.3426644,0.07555254,0.0215474,0.02606163,1.0652039,0.42556,1.0627559,0.03134591,1.0494651,0.10189521,0.03969309,0.9062158,0.1456888,44.79448,0.5070601,2.493067,0.02382464,0.0331012,1.1371519,1.0487243,1.0169624,1.337237,1.0618786,0.5440431,4.864925,0.5563121,0.9062158,1.0644894,0.08402036,2.493067,0.03909952,1.0335489,4.378152,6.191473,0.45999,0.9249196,0.3183863,0.4422599,6.475282,0.4353856,0.02778825,0.03921081,0.5319734,0.1636948,2.326807,0.0288132,0.4629989,4.625277,1.0652756
training,Susceptible,158.4182,435.7542,1.060818,1.135205,0.427489,185.38743,0.9864352,0.9690671,0.02746709,1.0707863,6.525662,0.01931647,1.0561776,0.3127156,1.0145621,0.1328585,0.3560789,0.07455762,0.01917465,0.02372642,1.0710169,0.4365728,1.061096,0.02820888,1.04103,0.10594786,0.03479166,0.9115802,0.1447306,39.71691,0.5022752,2.352893,0.02205061,0.02801955,1.1030163,1.0558678,1.0241253,1.397018,1.067805,0.5348606,4.707844,0.5481293,0.9115802,1.0645471,0.0813001,2.352893,0.0323836,1.0408883,4.146958,5.911876,0.464252,0.9139544,0.325819,0.4532218,6.411569,0.4261067,0.02406122,0.03335737,0.5233605,0.1672726,2.255936,0.02517844,0.4759477,4.52105,1.0716998
